Train Epoch: 172 	Loss: 103239.273438 	Time: 16:34:45
Train Epoch: 173 	Loss: 121670.304688 	Time: 16:35:40
Train Epoch: 174 	Loss: 207622.593750 	Time: 16:36:36
Train Epoch: 175 	Loss: 186748.765625 	Time: 16:37:31
Train Epoch: 176 	Loss: 192187.250000 	Time: 16:38:26
Train Epoch: 177 	Loss: 184348.734375 	Time: 16:39:21
Train Epoch: 178 	Loss: 236136.406250 	Time: 16:40:16
Train Epoch: 179 	Loss: 228095.593750 	Time: 16:41:12
Train Epoch: 180 	Loss: 271150.687500 	Time: 16:42:08
Train Epoch: 181 	Loss: 265085.875000 	Time: 16:43:03
Train Epoch: 182 	Loss: 309749.875000 	Time: 16:43:59
Train Epoch: 183 	Loss: 288114.250000 	Time: 16:44:55
Train Epoch: 184 	Loss: 378842.593750 	Time: 16:45:50
Train Epoch: 185 	Loss: 352647.437500 	Time: 16:46:47
Train Epoch: 186 	Loss: 387531.125000 	Time: 16:47:43
Train Epoch: 187 	Loss: 390536.375000 	Time: 16:48:39
Train Epoch: 188 	Loss: 429535.812500 	Time: 16:49:35
Train Epoch: 189 	Loss: 465145.031250 	Time: 16:50:30
Train Epoch: 190 	Loss: 538956.000000 	Time: 16:51:26
Train Epoch: 191 	Loss: 483015.812500 	Time: 16:52:24
Train Epoch: 192 	Loss: 413889.062500 	Time: 16:53:20
Train Epoch: 193 	Loss: 537669.250000 	Time: 16:54:15
Train Epoch: 194 	Loss: 485396.156250 	Time: 16:55:11
Train Epoch: 195 	Loss: 529917.437500 	Time: 16:56:07
Train Epoch: 196 	Loss: 407046.312500 	Time: 16:57:03
Train Epoch: 197 	Loss: 427175.250000 	Time: 16:58:00
Train Epoch: 198 	Loss: 434011.156250 	Time: 16:58:56
Train Epoch: 199 	Loss: 325088.031250 	Time: 16:59:52
Train Epoch: 200 	Loss: 348627.218750 	Time: 17:00:48
Train Epoch: 201 	Loss: 288817.937500 	Time: 17:01:44
Train Epoch: 202 	Loss: 314178.906250 	Time: 17:02:39
Train Epoch: 203 	Loss: 271923.218750 	Time: 17:03:35
Train Epoch: 204 	Loss: 250885.921875 	Time: 17:04:31
Train Epoch: 205 	Loss: 256749.875000 	Time: 17:05:27
Train Epoch: 206 	Loss: 252905.812500 	Time: 17:06:23
Train Epoch: 207 	Loss: 206950.890625 	Time: 17:07:19
Train Epoch: 208 	Loss: 246581.406250 	Time: 17:08:15
Train Epoch: 209 	Loss: 219897.859375 	Time: 17:09:10
Train Epoch: 210 	Loss: 284590.187500 	Time: 17:10:07
Train Epoch: 211 	Loss: 223641.187500 	Time: 17:11:03
Train Epoch: 212 	Loss: 263837.750000 	Time: 17:12:00
Train Epoch: 213 	Loss: 275322.156250 	Time: 17:12:56
Train Epoch: 214 	Loss: 269133.625000 	Time: 17:13:52
Train Epoch: 215 	Loss: 277900.062500 	Time: 17:14:48
Train Epoch: 216 	Loss: 269425.000000 	Time: 17:15:44
Train Epoch: 217 	Loss: 219893.781250 	Time: 17:16:39
Train Epoch: 218 	Loss: 287379.781250 	Time: 17:17:35
Train Epoch: 219 	Loss: 264358.625000 	Time: 17:18:30
Train Epoch: 220 	Loss: 239743.671875 	Time: 17:19:25
Train Epoch: 221 	Loss: 239797.656250 	Time: 17:20:21
Train Epoch: 222 	Loss: 315396.968750 	Time: 17:21:15
Train Epoch: 223 	Loss: 288005.875000 	Time: 17:22:11
Train Epoch: 224 	Loss: 280068.937500 	Time: 17:23:05
Train Epoch: 225 	Loss: 305651.937500 	Time: 17:24:01
Train Epoch: 226 	Loss: 263778.937500 	Time: 17:24:57
Train Epoch: 227 	Loss: 266719.812500 	Time: 17:25:53
Train Epoch: 228 	Loss: 242612.281250 	Time: 17:26:49
Train Epoch: 229 	Loss: 336642.562500 	Time: 17:27:46
Train Epoch: 230 	Loss: 296698.156250 	Time: 17:28:42
